16.4. . .32.16. .2.256.32.2.4.512.64.8.8.,3,15
16.4. . .32.16.2. .256.32.2.4.512.64.16.2.,0,10
16.4.4.4.32.16.16.2.256.32.2. .512.64. . .,3,14
16.8.4. .32.32.2. .256.32.2. .512.64.2. .,2,15
16. . . .32.8.4. .256.64.2. .512.64.4.2.,2,3
16. . .2.32. .4. .256.8.2. .512.128.4.2.,3,3
16.2. .2.32.4. . .256.8.2. .512.128.4.2.,0,15
16.2.2.4.32.4.4. .256.8. . .512.128. .2.,2,7
16.2. . .32.4. .2.256.8.2.4.512.128.4.2.,3,7
16.2. . .32.4.2.2.256.8.2.4.512.128.4.2.,2,2
16.2.4. .32.4. .2.256.8.4.4.512.128.4.2.,2,2
16.2.2. .32.4. .2.256.8.4.4.512.128.8.2.,2,2
16.2.2. .32.4.2.2.256.8.4.4.512.128.8.2.,3,7
16.4. . .32.4.4.2.256.8.8. .512.128.8.2.,3,11
16.4. . .32.8.2. .256.16. .2.512.128.8.2.,0,15
16.4.2.4.32.8.8. .256.16. . .512.128. .2.,2,2
16.4.2. .32.8. . .256.16.2.4.512.128.8.2.,0,10
16.4.4.4.32.8.8.2.256.16.4. .512.128. . .,3,15
16.8.4. .32.16.2. .256.16.4. .512.128. .2.,3,11
16.8.4. .32.16.2. .256.16.4.2.512.128.2. .,2,3
16. .4.2.32.8.2. .256.32.4. .512.128.2.2.,3,11
16.4.2. .32.8.2. .256.32.4.2.512.128.4. .,2,3
16.4. .2.32.8. . .256.32.4. .512.128.8.2.,3,3
16.4.2.4.32.8. . .256.32.4. .512.128.8.2.,2,2
16.4.2. .32.8.2. .256.32.4.4.512.128.8.2.,0,15
16.4.4.4.32.8.4.2.256.32.8. .512.128. .2.,0,11
16.4.8.4.32.8.8.4.256.32. .4.512.128. . .,3,15
16.4.8.4.32.16.4. .256.32.4. .512.128. .2.,2,7
16.4. . .32.16. .2.256.32.8.4.512.128.8.2.,3,3
16.4. .2.32.16.2. .256.32.8.4.512.128.8.2.,0,14
16.4.2.2.32.16.16.4.256.32. .2.512.128.2. .,3,15
16.4.4. .32.32.4. .256.32.2. .512.128.2.2.,3,7
16.8. . .64.4. .2.256.32.2. .512.128.4. .,0,15
16.8.2.2.64.4.4. .256.32. . .512.128. .2.,2,11
16.8. . .64.4. . .256.32.2.2.512.128.4.4.,0,10
16.8.2.2.64.4.4.4.256.32.2. .512.128. . .,3,3
16.8.4.4.64.8.4. .256.32.2. .512.128. . .,3,3
16.8.8.2.64.8.4. .256.32.2. .512.128. . .,3,14
16.16.2. .64.8.4. .256.32.2. .512.128.2. .,2,15
16.16. . .64.8.2. .256.32.4. .512.128.4.2.,0,11
16.16.2.2.64.8.8. .256.32. .2.512.128. . .,3,11
32.4. . .64.16. . .256.32.2.2.512.128. . .,3,15
32.4. . .64.16. . .256.32.4. .512.128. .2.,0,6
32.4.4.2.64.16.2. .256.32. . .512.128. . .,3,11
32.8.2. .64.16.2. .256.32. .2.512.128. . .,3,7
32.8.2. .64.16.2.2.256.32.2. .512.128. . .,0,10
32.8.4.2.64.16.2. .256.32.2. .512.128. . .,0,7
32.8.4.2.64.16.4.2.256.32. . .512.128. . .,0,11
32.8.8.4.64.16. . .256.32. .4.512.128. . .,2,11
32.8. . .64.16. . .256.32. .2.512.128.8.8.,3,15
32.8. . .64.16. . .256.32.2. .512.128.16.2.,0,10
32.8.2.2.64.16.16. .256.32.2. .512.128. . .,3,11
32.8.4. .64.32. . .256.32.2.2.512.128. . .,2,6
32. . . .64.8.2. .256.64.4. .512.128.2.2.,3,1
32.4. . .64.8.2. .256.64.4. .512.128.4. .,0,15
32.4.2. .64.8.8. .256.64. . .512.128. .2.,0,11
32.4.2.2.64.8.8. .256.64. .2.512.128. . .,2,2
32.4.2. .64.8. . .256.64.2. .512.128.8.4.,2,2
32.4.2. .64.8. . .256.64.4. .512.128.8.4.,2,3
32.4. .2.64.8.2. .256.64.4. .512.128.8.4.,2,2
32.4.2. .64.8.2. .256.64.4.2.512.128.8.4.,1,0
2.32.4.2. .64.8.2.256.64.4.2.512.128.8.4.,2,1
 .2.4. .2.32.8.2.256.128.4.4.512.128.8.4.,3,2
2.4.2. .2.32.8.2.256.128.8. .512.128.8.4.,2,7
 . . . .4.4.2.2.256.32.8.2.512.256.16.4.,2,3
 . . .2.4.4.2. .256.32.8.4.512.256.16.4.,1,1
 .4. .2. . .8.2.256.32.8.4.512.256.16.4.,2,0
4. . . . .4. . .256.32.16.4.512.256.16.8.,2,1
 .2. . .4.4. . .256.32. .4.512.256.32.8.,1,2
 . .2.2. . . .8. .256.32.4.512.256.32.8.,2,1
 .2. .2. . . .8. . .2.4.512.512.64.8.,2,4
 . . .2.2. . .8. .2.2.4.512.512.64.8.,3,11
2. . . .2.8. . .4.4. .2.1024.64.8. .,2,10
 . . . .4.8. . .4.4.2. .1024.64.8.2.,2,0
2. . . . .8. . .8.4.2. .1024.64.8.2.,3,2
2. .2. .8. . . .8.4.2. .1024.64.8.2.,3,11
4. . . .8. . . .8.4.2.2.1024.64.8.2.,3,1
4.2. . .8. . . .8.4.4. .1024.64.8.2.,3,5
4.2. . .8.2. . .8.8. . .1024.64.8.2.,3,11
4.2. . .8.2. . .16. . .2.1024.64.8.2.,3,2
4.2.2. .8.2. . .16.2. . .1024.64.8.2.,3,10
4.4. . .8.2. . .16.2.2. .1024.64.8.2.,3,2
8. .2. .8.2. . .16.4. . .1024.64.8.2.,3,10
8.2. . .8.2. . .16.4.2. .1024.64.8.2.,2,7
 . . . .16.4. .2.16.4.2. .1024.64.8.2.,3,11
 . . . .16.4.2. .16.4.2.2.1024.64.8.2.,3,0
2. . . .16.4.2. .16.4.4. .1024.64.8.2.,2,0
2. . . .2. .2. .32.8.4. .1024.64.8.2.,2,7
 . . . .4. .2.2.32.8.4. .1024.64.8.2.,2,11
 . . . .4. .2. .32.8.4.2.1024.64.8.4.,1,1
 .2. . . . .4.2.32.8.4.2.1024.64.8.4.,1,2
 . .2.2. . .4.2.32.8.4.2.1024.64.8.4.,1,1
 .2. .4. . .4.2.32.8.4.2.1024.64.8.4.,1,4
 . .2.4.2. .4.2.32.8.4.2.1024.64.8.4.,1,4
 . .2.4.4.2.4.2.32.8.4.2.1024.64.8.4.,3,2
2.4.4. .4.2.4.2.32.8.4.2.1024.64.8.4.,1,1
 .2.2.8.4.2.4.2.32.8.4.2.1024.64.8.4.,1,1
 .2.4.8.4.2.4.2.32.8.4.2.1024.64.8.4.,2,0
2. . . .4.4.4.8.32.8.8.4.1024.64.8.4.,2,7
2. . . .4.4. .2.32.8.4.8.1024.64.16.8.,3,6
2. . . .8.2.2. .32.8.4.8.1024.64.16.8.,3,7
2. . . .8.4. .2.32.8.4.8.1024.64.16.8.,3,3
2. . .2.8.4.2. .32.8.4.8.1024.64.16.8.,3,7
4. . . .8.4.2.2.32.8.4.8.1024.64.16.8.,2,7
4. . . .8.4.2.4.32.8.4.2.1024.64.16.16.,3,2
4. .4. .8.4.2.4.32.8.4.2.1024.64.32. .,3,1
8.2. . .8.4.2.4.32.8.4.2.1024.64.32. .,2,0
2.2. . .16.4.2. .32.8.4.4.1024.64.32.2.,3,11
4. . . .16.4.2. .32.8.8.4.1024.64.32.2.,3,3
4. . .2.16.4.2. .32.16.4. .1024.64.32.2.,3,2
4.2.2. .16.4.2. .32.16.4. .1024.64.32.2.,2,3
4.2. .2.16.4.4. .32.16.4. .1024.64.32.2.,1,0
2. .4.4. . .16.8. .32.16.4.1024.64.32.2.,3,7
2.8. . .16.8. .2.32.16.4. .1024.64.32.2.,3,7
2.8. . .16.8.2.2.32.16.4. .1024.64.32.2.,3,11
2.8. . .16.8.4. .32.16.4.2.1024.64.32.2.,1,4
 . .2.8.2.16.8.4.32.16.4.2.1024.64.32.2.,2,0
4. .2. .2. .8.8.32.32.4.4.1024.64.32.4.,2,3
4. .2.4.2. .8. .32.32.4.8.1024.64.32.8.,1,0
4.4.2.4. . .2.8. .64.4.8.1024.64.32.8.,2,3
 . . .4. . .4.4.4.4.4.8.1024.128.32.16.,2,2
 . .2. . . . .8.4.4.8.8.1024.128.32.16.,1,6
 . . .2. . .2.8. . .8.16.1024.128.32.16.,3,7
2. . . .2.8. .2.8.16. . .1024.128.32.16.,1,4
 . . .2.4.2.8.2. . .8.16.1024.128.32.16.,3,11
2. . . .4.2.8.2.8.16. .2.1024.128.32.16.,2,7
2. . . .4.2. .2.8.16.8.4.1024.128.32.16.,3,1
2.2. . .4.4. . .8.16.8.4.1024.128.32.16.,3,2
4. .2. .8. . . .8.16.8.4.1024.128.32.16.,2,2
 . .2. .4. .2. .16.16.8.4.1024.128.32.16.,3,6
2. . . .4.2.2. .32.8.4. .1024.128.32.16.,3,2
2. .2. .4.4. . .32.8.4. .1024.128.32.16.,2,3
2. . .2.4.4.2. .32.8.4. .1024.128.32.16.,2,1
2.2. . .4.4.2. .32.8.4.2.1024.128.32.16.,1,1
 .2. .4. . .8.2.32.8.4.2.1024.128.32.16.,3,3
2.4. .2.8.2. . .32.8.4.2.1024.128.32.16.,1,5
 .2.4.2. .2.8.2.32.8.4.2.1024.128.32.16.,3,7
2.4.2. .2.8.2.2.32.8.4.2.1024.128.32.16.,1,4
 .2.4.2.2.2.8.4.32.8.4.2.1024.128.32.16.,3,3
2.4.2.2.4.8.4. .32.8.4.2.1024.128.32.16.,2,7
2. . . .4.4.2.4.32.16.8.4.1024.128.32.16.,2,7
2. . . .4.4.2.2.32.16.8.8.1024.128.32.16.,3,6
2. . . .8.4.2. .32.16.16. .1024.128.32.16.,3,10
2. . . .8.4.2. .32.32.2. .1024.128.32.16.,3,2
2. .2. .8.4.2. .64.2. . .1024.128.32.16.,3,2
4. .2. .8.4.2. .64.2. . .1024.128.32.16.,3,7
4.2. . .8.4.2.2.64.2. . .1024.128.32.16.,2,2
4.2.2. .8.4. . .64.2.2.2.1024.128.32.16.,3,7
4.4. . .8.4. .2.64.4.2. .1024.128.32.16.,2,1
4.4. . .8.4. . .64.8.2.2.1024.128.32.16.,2,3
4. . .2.8.8. . .64.8.2.2.1024.128.32.16.,2,7
4. . . .8. . .2.64.16.2.4.1024.128.32.16.,3,6
4. . . .8.2.2. .64.16.2.4.1024.128.32.16.,2,6
4. . . .8.2.2. .64.16.4.4.1024.128.32.16.,3,2
4. .2. .8.4. . .64.16.8. .1024.128.32.16.,3,6
4.2. . .8.4.4. .64.16.8. .1024.128.32.16.,3,7
4.2. . .8.8. .2.64.16.8. .1024.128.32.16.,2,3
4.2. .2.8.8. . .64.16.8.2.1024.128.32.16.,2,2
4.2.2. .8.8. . .64.16.8.4.1024.128.32.16.,2,2
4.2.2. .8.8.2. .64.16.8.4.1024.128.32.16.,2,7
4.2. . .8.8.4.2.64.16.8.4.1024.128.32.16.,1,4
 . .4.2.2.16.4.2.64.16.8.4.1024.128.32.16.,3,3
4.2. .2.2.16.4.2.64.16.8.4.1024.128.32.16.,2,2
4. .2. .2.2.4.4.64.32.8.4.1024.128.32.16.,2,7
4. .2. .2.2.4.2.64.32.8.8.1024.128.32.16.,3,2
4.2.2. .4.4.2. .64.32.16. .1024.128.32.16.,3,11
4.4. . .8.2. . .64.32.16.2.1024.128.32.16.,3,3
8. . .2.8.2. . .64.32.16.2.1024.128.32.16.,1,1
 .2.8.2. . .8.2.64.32.16.2.1024.128.32.16.,2,3
 . . .2. .2.16.2.64.32.16.4.1024.128.32.16.,2,3
 . . .2. .2. .4.64.32.32.4.1024.128.32.16.,1,0
2. . .2. . .2.4. .64.64.4.1024.128.32.16.,2,3
 . . .2. . .2.2.2.64.64.8.1024.128.32.16.,2,1
 .2. . . . .2.4.2.64.64.8.1024.128.32.16.,3,7
2. . . .2.4. .2.2.128.8. .1024.128.32.16.,2,7
 . . . .2. . .2.4.4.8.2.1024.256.32.16.,2,7
 . . . .2. . .2.4.4.8.4.1024.256.32.16.,1,2
 . .2. . . . .4. .8.8.4.1024.256.32.16.,2,7
 . . . . . .2.2. .8.8.8.1024.256.32.16.,1,3
 . . .2. . . .4. . .8.16.1024.256.32.16.,2,2
 . .2. . . . .2. . .8.4.1024.256.32.32.,3,7
2. . . .2. . .2.8.4. . .1024.256.64. .,2,5
 . . . .4.2. . .8.4. . .1024.256.64.2.,1,8
 . . . . . .4.2.2. .8.4.1024.256.64.2.,3,6
 . . . .4.2.2. .2.8.4. .1024.256.64.2.,1,8
 . . . . . .4.4.4.2.8.4.1024.256.64.2.,3,3
 . . .2.8. . . .4.2.8.4.1024.256.64.2.,2,1
 .2. . .8. . .2.4.2.8.4.1024.256.64.2.,3,1
2.2. . .8.2. . .4.2.8.4.1024.256.64.2.,2,3
2. . .2.8.2. . .4.4.8.4.1024.256.64.2.,3,1
4.2. . .8.2. . .8.8.4. .1024.256.64.2.,3,11
4.2. . .8.2. . .16.4. .2.1024.256.64.2.,3,2
4.2.2. .8.2. . .16.4.2. .1024.256.64.2.,3,11
4.4. . .8.2. . .16.4.2.2.1024.256.64.2.,3,7
8. . . .8.2. .4.16.4.4. .1024.256.64.2.,3,1
8.2. . .8.2.4. .16.8. . .1024.256.64.2.,2,1
 .2. . .16.4. . .16.8.4. .1024.256.64.2.,2,7
 .2. . . .4. .2.32.8.4. .1024.256.64.2.,2,4
 .2. . .2.4. . .32.8.4. .1024.256.64.4.,3,3
2. . .2.2.4. . .32.8.4. .1024.256.64.4.,2,6
 . . . .4.4.2. .32.8.4.2.1024.256.64.4.,3,3
 . . .2.8.2. . .32.8.4.2.1024.256.64.4.,3,6
2. . . .8.2.2. .32.8.4.2.1024.256.64.4.,3,1
2.2. . .8.4. . .32.8.4.2.1024.256.64.4.,3,1
4.2. . .8.4. . .32.8.4.2.1024.256.64.4.,1,0
2. .4.2. . .8.4.32.8.4.2.1024.256.64.4.,1,0
2.2.4.2. . .8.4.32.8.4.2.1024.256.64.4.,2,0
2. .4.2.2.2.8.4.32.8.4.2.1024.256.64.4.,2,1
 .2.4.2.4.2.8.4.32.8.4.2.1024.256.64.4.,2,0
2. .4.2.4.4.8.4.32.8.4.2.1024.256.64.4.,3,7
2.4.2. .8.8.4.2.32.8.4.2.1024.256.64.4.,3,3
2.4.2.2.16.4.2. .32.8.4.2.1024.256.64.4.,1,0
2.2.4.4. .16.4.2.32.8.4.2.1024.256.64.4.,2,0
2.2. . .2.16.4.4.32.8.8.4.1024.256.64.4.,1,0
2. . .4. .2.16.8. .32.16.4.1024.256.64.4.,2,0
2. . . . .2. .4.2.32.32.8.1024.256.64.8.,1,8
 . . .2. . .2.4.2.2.64.8.1024.256.64.8.,2,2
 . .2. . . . .2.2.2.2.4.1024.256.128.16.,3,3
2. . .2.2. . . .4.2.4. .1024.256.128.16.,1,0
4. . .4. . . .2. .4.2.4.1024.256.128.16.,2,5
 . . .4. .2. .2.4.4.2.4.1024.256.128.16.,3,2
4. .2. .4. . . .8.2.4. .1024.256.128.16.,1,5
 . .4.2. .4. .4. .8.2.4.1024.256.128.16.,3,6
4.2. . .8. .2. .8.2.4. .1024.256.128.16.,3,7
4.2. . .8.2. .2.8.2.4. .1024.256.128.16.,2,3
 . . .2.4.2. . .16.4.4.2.1024.256.128.16.,3,1
2.4. . .4.2. . .16.8.2. .1024.256.128.16.,1,8
 . .2.4. . .4.2.2.16.8.2.1024.256.128.16.,2,1
 .2.2. . . .4.4.2.16.8.4.1024.256.128.16.,2,0
2. .2. . .2.4. .2.16.8.8.1024.256.128.16.,2,3
 . .2.2. .2.4. .4.16.8.8.1024.256.128.16.,2,1
 .2.2. . .2.4.2.4.16.8.8.1024.256.128.16.,2,1
 .2.2. . .4.4.2.4.16.8.8.1024.256.128.16.,1,4
 . . .4.4. .8.2. .4.16.16.1024.256.128.16.,2,1
 .2. . . . .8.4.4.4.16.2.1024.256.128.32.,3,6
2. . . .8.4.2. .8.16.2. .1024.256.128.32.,2,2
 . .2. .2.4. . .16.16.4. .1024.256.128.32.,2,3
 . . .2.2.4.2. .16.16.4. .1024.256.128.32.,2,1
 .2. . .2.4.2. .16.16.4.2.1024.256.128.32.,3,3
2. . .4.2.4.2. .32.4.2. .1024.256.128.32.,3,7
2.4. . .2.4.2.2.32.4.2. .1024.256.128.32.,2,3
 . . .2.4.4. . .32.8.4.2.1024.256.128.32.,2,2
 . .2. .4.4. . .32.8.4.4.1024.256.128.32.,2,7
 . . . .4.4.2.2.32.8.4.4.1024.256.128.32.,3,2
 . .2. .8.4. . .32.8.8. .1024.256.128.32.,2,3
 . . .2.8.4.2. .32.8.8. .1024.256.128.32.,2,2
 . .4. .8.4.2. .32.8.8.2.1024.256.128.32.,3,7
4. . . .8.4.2.2.32.16.2. .1024.256.128.32.,2,2
4. .2. .8.4. . .32.16.4.2.1024.256.128.32.,2,2
4. .2. .8.4.2. .32.16.4.2.1024.256.128.32.,2,7
4. . . .8.4.4.2.32.16.4.2.1024.256.128.32.,1,4
 . . .4.2.8.8.2.32.16.4.2.1024.256.128.32.,3,1
4.2. . .2.16.2. .32.16.4.2.1024.256.128.32.,2,3
4. . .2.2.2.2. .32.32.4.2.1024.256.128.32.,2,1
4.2. . .2.2.2. .32.32.4.4.1024.256.128.32.,2,7
4. . . .2.4.2.2.32.32.4.4.1024.256.128.32.,3,1
4.2. . .2.4.4. .64.8. . .1024.256.128.32.,3,11
4.2. . .2.8. . .64.8. .2.1024.256.128.32.,3,7
4.2. . .2.8. .2.64.8.2. .1024.256.128.32.,2,6
4. . . .2.2.2. .64.16.2.2.1024.256.128.32.,2,7
4. . . .2.2. .2.64.16.4.2.1024.256.128.32.,2,2
4. .4. .2.2. . .64.16.4.4.1024.256.128.32.,2,7
4. . . .2.2. .2.64.16.8.4.1024.256.128.32.,1,4
 . . .4.2. .2.4.64.16.8.4.1024.256.128.32.,1,0
2. . .4. . .4.4.64.16.8.4.1024.256.128.32.,3,6
2.4. . .8. .2. .64.16.8.4.1024.256.128.32.,1,1
 .2.2.4. . .8.2.64.16.8.4.1024.256.128.32.,3,2
4.4.4. .8.2. . .64.16.8.4.1024.256.128.32.,2,3
4.4. .2.8.2.4. .64.16.8.4.1024.256.128.32.,2,2
4.4.2. .8.2.4.2.64.16.8.4.1024.256.128.32.,0,15
4.4.2.2.8.2.4.4.64.16.8.32.1024.256.128.2.,3,7
8.4. . .8.2.8.2.64.16.8.32.1024.256.128.2.,2,3
 .4. .2.16.2. .2.64.16.16.32.1024.256.128.2.,3,11
4.2. . .16.4. . .64.32.32.2.1024.256.128.2.,1,5
 . .4.2. .2.16.4. .64.64.2.1024.256.128.2.,1,0
2. .4.2. .2.16.4. . .128.2.1024.256.128.2.,2,3
 . . .2. . .4.2.2.2.16.4.1024.256.256.4.,3,2
2. .4. .4.2. . .4.16.4. .1024.512.4. .,3,6
2.4. . .4.2.2. .4.16.4. .1024.512.4. .,2,0
2.4. . .2.2. . .8.16.2. .1024.512.8. .,2,15
 .4. . .4.2. . .8.16.2. .1024.512.8.2.,3,2
4. .2. .4.2. . .8.16.2. .1024.512.8.2.,3,3
4.2. .2.4.2. . .8.16.2. .1024.512.8.2.,3,11
4.4. . .4.2. . .8.16.2.2.1024.512.8.2.,2,11
 .4. . .8.2. . .8.16.2.2.1024.512.8.4.,3,7
4. . . .8.2. .2.8.16.4. .1024.512.8.4.,3,6
4. . . .8.4.2. .8.16.4. .1024.512.8.4.,2,0
4. . . .4.4.2. .16.16.4. .1024.512.8.4.,2,7
 . . . .8.4.2.4.16.16.4. .1024.512.8.4.,3,10
 . . . .8.4.2.4.32.4.2. .1024.512.8.4.,2,5
 . . . .8.2. . .32.8.4. .1024.512.8.8.,3,1
 .2. . .8.2. . .32.8.4. .1024.512.16. .,3,15
2. . . .8.2. . .32.8.4. .1024.512.16.2.,1,0
2. . .2. . .8.2. .32.8.4.1024.512.16.2.,3,2
4. .2. .8.2. . .32.8.4. .1024.512.16.2.,3,3
4.2. .2.8.2. . .32.8.4. .1024.512.16.2.,3,3
4.4. .2.8.2. . .32.8.4. .1024.512.16.2.,2,3
4.4. .2.8.2. . .32.8.4. .1024.512.16.4.,2,6
4.4. . .8.2.2. .32.8.4.2.1024.512.16.4.,3,7
8. . . .8.4. .2.32.8.4.2.1024.512.16.4.,1,0
2. . .8. .8.4.2.32.8.4.2.1024.512.16.4.,2,2
 . .2. .2. . .8.32.16.8.4.1024.512.16.4.,1,1
 .2. .2. . .2.8.32.16.8.4.1024.512.16.4.,1,2
 . .2.4. . .2.8.32.16.8.4.1024.512.16.4.,3,2
2.4.2. .2.8. . .32.16.8.4.1024.512.16.4.,1,4
 .2.4.2.2. .2.8.32.16.8.4.1024.512.16.4.,1,5
 .2.4.2. .2.4.8.32.16.8.4.1024.512.16.4.,3,3
2.4.2.2.2.4.8. .32.16.8.4.1024.512.16.4.,1,4
 .2.4.4.2.2.4.8.32.16.8.4.1024.512.16.4.,2,1
 .2. . .2.4.8.4.32.16.8.8.1024.512.16.8.,3,3
2. . .2.2.4.8.4.32.16.16. .1024.512.16.8.,2,3
 . . .2.4.4. .2.32.16.8.4.1024.512.32.8.,1,2
 . .2.2. . .8.2.32.16.8.4.1024.512.32.8.,2,2
 . .2. . . .2.4.32.16.16.4.1024.512.32.8.,2,5
 . . . . .2.4. .32.16.16.8.1024.512.32.8.,3,11
 . . . .2.4. . .32.32.8.2.1024.512.32.8.,3,1
 .2. . .2.4. . .64.8.2. .1024.512.32.8.,3,11
2. . . .2.4. . .64.8.2.2.1024.512.32.8.,3,1
2.4. . .2.4. . .64.8.4. .1024.512.32.8.,2,1
 .2. . .4.8. . .64.8.4. .1024.512.32.8.,3,2
2. .2. .4.8. . .64.8.4. .1024.512.32.8.,2,5
2. . . .4.2.2. .64.16.4. .1024.512.32.8.,3,1
2.2. . .4.4. . .64.16.4. .1024.512.32.8.,3,2
4. .2. .8. . . .64.16.4. .1024.512.32.8.,2,2
4. .2. .8. .2. .64.16.4. .1024.512.32.8.,2,2
4. .2. .8. .4. .64.16.4. .1024.512.32.8.,2,1
4.2. . .8. .2. .64.16.8. .1024.512.32.8.,3,3
4.2. .2.8.2. . .64.16.8. .1024.512.32.8.,3,3
4.4. .2.8.2. . .64.16.8. .1024.512.32.8.,2,3
4.4. .2.8.2. . .64.16.8.2.1024.512.32.8.,2,2
4.4.4. .8.2. . .64.16.8.4.1024.512.32.8.,3,2
8.4.2. .8.2. . .64.16.8.4.1024.512.32.8.,2,7
 .4. . .16.2.2.2.64.16.8.4.1024.512.32.8.,1,2
 . .2.4. .16.2.4.64.16.8.4.1024.512.32.8.,2,3
 . . .2. . .4.4.64.32.8.8.1024.512.32.8.,2,4
 . . . .2. .4.2.64.32.8.4.1024.512.32.16.,3,3
 . . .2.2.4.2. .64.32.8.4.1024.512.32.16.,1,4
 . . .2.2.2.4.2.64.32.8.4.1024.512.32.16.,1,1
 .2. .2. .4.4.2.64.32.8.4.1024.512.32.16.,2,3
 .2. .4. .4.4.4.64.32.8.4.1024.512.32.16.,3,2
2.4.2. .8.4. . .64.32.8.4.1024.512.32.16.,1,0
2.2.4.2. . .8.4.64.32.8.4.1024.512.32.16.,2,3
 . . .2.2.2.4.2.64.32.16.8.1024.512.32.16.,2,3
 . . .2.2.2.4.4.64.32.16.8.1024.512.32.16.,1,0
2. . .2. . .4.8.64.32.16.8.1024.512.32.16.,1,0
2. . .4. . .4.8.64.32.16.8.1024.512.32.16.,1,1
 .2.2.4. . .4.8.64.32.16.8.1024.512.32.16.,3,6
4.4. . .4.8.2. .64.32.16.8.1024.512.32.16.,2,2
 .4.2. .8.8.2. .64.32.16.8.1024.512.32.16.,1,0
2. .4.2. . .16.2.64.32.16.8.1024.512.32.16.,2,5
 . . . .2.2.4.4.64.32.32.8.1024.512.32.16.,3,11
 . . . .4.8. . .64.64.8.2.1024.512.32.16.,3,2
 . .2. .4.8. . .128.8.2. .1024.512.32.16.,3,7
2. . . .4.8. .2.128.8.2. .1024.512.32.16.,3,11
2. . . .4.8.2. .128.8.2.2.1024.512.32.16.,3,7
2. . . .4.8.2.2.128.8.4. .1024.512.32.16.,2,2
2. .4. .4. .2. .128.16.4.2.1024.512.32.16.,3,3
2.4. .2.4.2. . .128.16.4.2.1024.512.32.16.,1,5
 .2.4.2. .2.4.2.128.16.4.2.1024.512.32.16.,2,1
 .2. . . .4.4.2.128.16.8.4.1024.512.32.16.,1,5
 . . .2. .2.8.2.128.16.8.4.1024.512.32.16.,2,4
 . . . .2.2. .4.128.16.16.4.1024.512.32.16.,2,6
 . . . .2.2.2. .128.16.16.8.1024.512.32.16.,3,2
 . .2. .4.2. . .128.32.8. .1024.512.32.16.,3,1
2.2. . .4.2. . .128.32.8. .1024.512.32.16.,2,6
2. . . .4.4.4. .128.32.8. .1024.512.32.16.,3,1
2.2. . .8.4. . .128.32.8. .1024.512.32.16.,3,1
4.2. . .8.4. . .128.32.8. .1024.512.32.16.,0,14
4.2.8.16.8.4.32. .128.32. . .1024.512.2. .,2,3
4.2. .2.8.4.8. .128.32.32. .1024.512.2.16.,0,15
4.2.8.2.8.4.32.16.128.32.2. .1024.512. .2.,2,3
4.2. .2.8.4.8.2.128.32.32.16.1024.512.2.2.,3,11
4.4. . .8.4.8.2.128.64.16.2.1024.512.4. .,2,1
4.2. . .8.8.8. .128.64.16. .1024.512.4.4.,0,15
4.2.8.4.8.8.16. .128.64.4. .1024.512. .2.,3,7
4.2.8.4.16.16. .2.128.64.4. .1024.512.2. .,2,3
4.2. .2.16.16.8. .128.64.4.4.1024.512.2.2.,3,2
4.4.2. .32.8. . .128.64.8. .1024.512.4. .,0,11
4.4.2. .32.8.8. .128.64.4.2.1024.512. . .,3,3
8.2. .2.32.16. . .128.64.4.2.1024.512. . .,3,6
8.4. . .32.16.2. .128.64.4.2.1024.512. . .,2,2
8.4.2. .32.16. . .128.64.2. .1024.512.4.2.,0,10
8.4.4.2.32.16.4. .128.64.2. .1024.512. . .,3,11
8.8.2. .32.16.4. .128.64.2.2.1024.512. . .,0,7
8.8.2.2.32.16.4.2.128.64.2. .1024.512. . .,0,14
8.8.2.4.32.16.4. .128.64.2. .1024.512.2. .,2,2
8.8.2. .32.16.2. .128.64.4. .1024.512.4.4.,2,6
8.8. . .32.16.2. .128.64.4. .1024.512.8.4.,0,14
8.8.2.4.32.16.4. .128.64.8. .1024.512.4. .,2,11
8.8.2. .32.16.4. .128.64.8.4.1024.512.4.4.,3,15
16.2. . .32.16.4. .128.64.8.4.1024.512.8.2.,1,1
 .2.16.2. .32.16.4.128.64.8.4.1024.512.8.2.,2,2
 .2.2. . .32. .2.128.64.32.8.1024.512.16.2.,1,2
 . .2.4. . .32.2.128.64.32.8.1024.512.16.2.,2,1
 .2. .4. . .2.2.128.64.64.8.1024.512.16.2.,3,2
2.4.2. .4. . . .128.128.8. .1024.512.16.2.,3,5
2.4.2. .4.2. . .256.8. . .1024.512.16.2.,2,6
2.4. . .4.2.2. .256.8.2. .1024.512.16.2.,2,2
2.4.4. .4.2. . .256.8.4. .1024.512.16.2.,2,7
2.4. . .4.2. .4.256.8.8. .1024.512.16.2.,2,2
2.4.2. .4.2. . .256.8.8.4.1024.512.16.2.,3,6
2.4.2. .4.2.2. .256.16.4. .1024.512.16.2.,2,11
2.4. . .4.2.4. .256.16.4.2.1024.512.16.2.,1,4
 . .2.4.2.4.2.4.256.16.4.2.1024.512.16.2.,3,3
2.4. .2.2.4.2.4.256.16.4.2.1024.512.16.2.,1,0
2.2.4.2.2.4.2.4.256.16.4.2.1024.512.16.2.,2,0
4.2.4. .4.4.2.2.256.16.4.4.1024.512.16.4.,3,7
4.2.4. .8.4. .2.256.16.8. .1024.512.16.4.,2,7
4.2. . .8.4.4.2.256.16.8.2.1024.512.16.4.,2,7
4.2. . .8.4.4.2.256.16.8.4.1024.512.16.4.,2,7
