2.16.32.4.8.4.2. .2.64. . . . . . .,1,14
2.16.32.4. .8.4.2. . .2.64. . .2. .,2,5
 . . . . .2.32.4. .16.4.2.2.8.4.64.,3,2
 . .4. .2.32.4. .16.4.2. .2.8.4.64.,0,7
2.32.8.64.16.4.2.2.2.8.4. . . . . .,1,8
2.32.8.64. .16.4.4.2.2.8.4. . . . .,2,3
 . . .2. .32.8. . .16.4.64.4.2.8.8.,3,11
2. . . .32.8. . .16.4.64.2.4.2.16. .,0,10
2.8.64.2.32.4.16. .16.2.2. .4. . . .,1,14
2.8.64.2. .32.4.16. . .16.4. . .2.4.,2,0
2. .64. . . .4.2. .8.16.16.2.32.2.8.,3,11
2.64. . .4.2. . .8.32. .2.2.32.2.8.,0,14
2.64.2.2.4.2. .8.8.64. . .2. .2. .,1,4
 .2.64.4.2.4.2.8. . .8.64. . . .4.,2,4
 . . .4.2. .64.8. .2.2.64.2.4.8.4.,3,11
4. . . .2.64.8. .4.64. .2.2.4.8.4.,0,13
4.128.16.2.2.4. .4.4. . . .2.2. . .,1,13
4.128.16.2. . .2.8. . . .4. .2. .4.,2,6
 . . . . . .2.2. .128.16.8.4.2.2.8.,3,11
 . . . .4. . . .128.16.8.2.4.4.8. .,0,9
4.16.16.2.128.4. . .4.2. . . . . . .,1,14
 .4.32.2. . .128.4. . .4.2. . .2. .,2,0
2. .32. . . .128.2. . .4.4. .4.2.2.,3,6
2.32. . .128.2.2. .8. . . .4.4. . .,0,6
2.32.2. .128.2.2. .8.4. . .4. . . .,1,14
 .2.32.2. . .128.4. . .8.4. . .2.4.,2,3
 . .32.2. . .128.2. . .8.4. .2.2.8.,3,7
32.2. . .128.2. .2.8.4. . .4.8. . .,0,14
32.4. .2.128.4. . .8.8. . .4. .2. .,1,4
 .32.4.2.2. .128.4. . . .16. . .4.2.,2,4
 . . .2.2. .4.4. . .128.16.2.32.4.2.,3,3
2. . .2.2.8. . .128.16. . .2.32.4.2.,0,14
4.8.4.4.128.16. . .2.32. . . . .2. .,1,4
 .4.8.8.2. .128.16. . .2.32. . . .2.,2,0
4. . .8. . .8.16. . .128.32.2.4.2.2.,3,3
4.8. .2.8.16. . .128.32. . .2.4.4. .,0,11
4.8.4.2.8.16. . .128.32. .2.2.4. . .,1,13
4.8.4.2. . .8.16. .128.32.2. .4.2.4.,2,0
2. .4.2. .8.8.16. .128.32.2.4.4.2.4.,3,7
2.4.2. .16.16. .2.128.32.2. .8.2.4. .,0,11
2.4.4.2.16.16.4. .128.32. .2.8.2. . .,1,4
 .2.8.2.2. .32.4. .128.32.2. . .8.2.,2,0
2. . . . . .8.2. .2.64.4.2.128.8.4.,3,6
2. . . .8.2.2. .2.64.4. .2.128.8.4.,0,7
2.2.2.4.8.64.4.2.4.128.8. . . . . .,1,12
 .2.4.4.8.64.4.2. .4.128.8.2. . . .,2,2
 . .2. . .2. .4.8.64.8.2.2.4.128.8.,3,7
2. . . .2.4. .2.8.64.8.2.2.4.128.8.,0,11
4.4.8.4.8.64.128.8.2.4. .2. . . . .,1,12
 .8.8.4.8.64.128.8. .2.4.2.2. . . .,2,2
 . .2. . .8.8.4.8.64.128.8.2.2.4.2.,3,15
2. . . .16.4. . .8.64.128.8.4.4.2.2.,0,11
2.4.128.8.16.64.2.2.8.4. .2.4. . . .,1,4
2.4.128.8.2.16.64.4. .8.4.2. . . .4.,2,4
 . . .8.2.4.128.4. .16.64.2.4.8.4.4.,3,15
8. . . .2.4.128.4.16.64.2. .4.8.8.2.,0,14
8.4.128.4.2.64.2.2.16.8.8. .4. .2. .,1,9
8.4.128.4. .2.64.4. .2.16.16. . .4.2.,2,0
2. .128. . . .64.8. .4.16.16.8.4.4.2.,3,6
2.128. . .64.8.2. .4.32. . .8.8.2. .,0,6
2.128.4. .64.8.4. .4.32. . .8.8. . .,1,0
2.2.128.4. .64.8.4. . .4.32. . . .16.,2,5
 . . . . .2.128.8. .2.8.32.2.64.4.16.,3,7
 . . . .2.128.8.2.2.8.32. .2.64.4.16.,0,11
4.128.8.2.2.8.32.16. .64.4.2. . . . .,2,1
 .2. . . .128.8.2.4.8.32.16.2.64.4.2.,3,7
2. . . .128.8.2.2.4.8.32.16.2.64.4.2.,0,9
2.16.2.2.128.64.32.16.4.4.4.2.2. . . .,1,12
 .2.16.4.128.64.32.16. .4.8.2.2. . .2.,2,0
2. . . . .2.16.4.128.64.32.16.2.4.8.4.,3,1
2.2. . .2.16.4. .128.64.32.16.2.4.8.4.,0,14
4.2.4.16.128.16.32.4.2.64.8. . .4.2. .,1,12
4.2.4.16.128.16.32.4. .2.64.8.2. .4.2.,2,0
2. .4.16.4.2.32.4.128.16.64.8.2.2.4.2.,3,3
2.4.16.2.4.2.32.4.128.16.64.8.4.4.2. .,1,12
2.4.16.2.4.2.32.4.128.16.64.8.2. .8.2.,2,1
2.2.16.2.4.4.32.4.128.2.64.8.2.16.8.2.,3,7
4.16.2. .8.32.4.2.128.2.64.8.2.16.8.2.,0,15
4.16.2.2.8.32.4.8.128.2.64.2.2.16.8.2.,1,0
2.4.16.4.8.32.4.8.128.2.64.2.2.16.8.2.,2,3
2.4.16.2.8.32.4.4.128.2.64.8.2.16.8.4.,3,7
2.4.16.2.8.32.8.2.128.2.64.8.2.16.8.4.,0,15
2.4.16.4.8.32.8.8.128.2.64.4.2.16.8.4.,1,4
2.4.16.4.2.8.32.16.128.2.64.4.2.16.8.4.,2,3
 .4.16.2.4.8.32.4.128.2.64.16.2.16.8.8.,3,3
4.16.2.2.4.8.32.4.128.2.64.16.2.16.16. .,0,12
8.16.2.2.128.8.32.4.2.2.64.16.2.16.16. .,1,8
 .8.16.4.128.8.32.4.4.4.64.16. . .2.32.,2,4
 . .16. .2. .32.8.128.16.64.16.4.4.2.32.,3,1
16.2. . .2.32.8. .128.16.64.16.8.2.32. .,0,11
16.2.8.16.2.32.64. .128.16.32.2.8.2. . .,1,13
16.2.8.16. .2.32.64.128.16.32.2. .2.8.2.,2,1
 .2. . . .4.8.16.16.16.64.64.128.2.8.4.,3,7
2. . . .4.8.16.2.32.128. . .128.2.8.4.,0,10
2.8.16.2.4.128.8.4.32.2.2. .128. . . .,1,8
2.8.16.2.4.128.8.4.4. .32.4. . . .128.,2,4
 . . . .2. .16.2.2.8.8.8.8.128.32.128.,3,2
 . .2. .2.16.2. .2.16.8. .8.128.32.128.,0,9
4.32.4.128.8.128.8. . .4.32. . . . . .,1,14
4.32.4.128. .8.128.8. . .4.32. . .2. .,2,0
2. .4. . . .128.128. .32.4.8.4.8.2.32.,3,5
2.4. . .256.2. . .32.4.8. .4.8.2.32.,0,7
2.4.8.32.256.2.2.2.32.4. . .4.8. . .,1,9
2.4.8.32. .256.2.4. .2.32.4. . .4.8.,2,0
2. .8. . .4.2.32. .256.32.8.2.2.4.8.,3,2
2.8.2. .4.2.32. .256.32.8. .4.4.8. .,0,14
2.8.2. .4.2.32. .256.32.16. .4.4.2. .,1,13
 .2.8.2. .4.2.32. .256.32.16. .2.8.2.,3,11
2.8.2. .4.2.32. .256.32.16.2.2.8.2. .,0,7
2.8.2.2.4.2.32.2.256.32.16. .2.8.2. .,1,8
 .2.8.4.4.2.32.2.2.256.32.16. .2.8.2.,2,1
 .4. .4. .4.8.2.4.256.64.16.2.2.8.2.,3,2
8. .2. .4.8.2. .4.256.64.16.4.8.2. .,0,12
8.8.4.16.8.256.64. .4.8.2. .2. . . .,1,14
 .16.4.16. .8.256.64. .4.8.2. . .4.2.,2,3
 . .4.2. .16.256.16. .8.8.64. .4.4.4.,3,10
4.2. . .16.256.16. .16.64.2. .8.4. . .,0,15
4.2.16. .32.256.2. .8.64. . . .4. .2.,1,13
 .4.2.16. .32.256.2. . .8.64. .2.4.2.,2,4
 . .2.16.2.4.256.2. .32.8.64. .2.4.2.,3,11
2.16. . .2.4.256.2.32.8.64.2.2.4.2. .,0,11
4.16.256.4.32.4.64. .2.8.2.2. .4. . .,1,14
4.16.256.4. .32.4.64. .2.8.4. . .2.4.,2,3
 . .256.2. .16.4.4. .32.8.64.4.2.2.8.,3,7
256.2. . .16.8. .2.32.8.64. .4.4.8. .,0,14
256.2.64.2.16.16.8. .32.4. . .4. .2. .,1,5
256.2.64.2. .2.32.8. . .32.4. . .4.2.,2,9
 . . .2. . .64.8. .2.64.4.256.4.4.2.,3,2
2. .4. .64.8. . .2.64.4. .256.8.2. .,0,11
2.8.8. .64.64.2. .2.8. .2.256. . . .,1,12
 . .2.16. . .128.2. .2.8.2.2. . .256.,2,1
 .2. . . . .2.16. . .128.4.2.2.8.256.,3,3
2. . .2.2.16. . .128.4. . .4.8.256. .,0,10
4.16.256.2.128.4. . .4.8.2. . . . . .,1,15
4.16.256.2. . .128.4. .4.8.2. . . .2.,2,2
 . .2. . . .256.2. .16.128.4.4.4.8.4.,3,11
2. . . .256.2. . .16.128.4.2.8.8.4. .,0,13
2.2.8.2.256.128. . .16.8. . .8.2. . .,1,8
 .4.8.2. . .256.128.2. .16.8. . .8.2.,2,4
 . .8.2.2. .256.128. . .16.8.2.4.8.2.,3,2
8.2.2. .2.256.128. .16.8. . .2.4.8.2.,0,15
8.2.2.2.2.256.128. .16.8.8. .2.4. .2.,1,12
 .8.2.4. .2.256.128. . .16.16.2.2.4.2.,2,1
 .4.2.4. . .256.128. .8.16.16.2.4.4.2.,3,15
4.2.4. .256.128. . .8.32. . .2.8.2.2.,0,11
4.2.4.2.256.128.2. .8.32. .2.2.8. . .,1,4
4.2.4.2.4.256.128.2. .8.32.2. . .2.8.,2,3
 . .4.2. .2.128.2. .256.32.4.8.8.2.8.,3,2
4.2.2. .2.128.2. .256.32.4. .16.2.8. .,0,3
4.2.4.2.2.128.4. .256.32.8. .16.2. . .,1,13
4.2.4.2. .2.128.4. .256.32.8. .2.16.2.,2,1
 .2.4.2. .4.128.4. .256.32.8.4.2.16.2.,3,7
2.4.2. .4.128.4.2.256.32.8. .4.2.16.2.,0,15
2.4.2.4.4.128.4. .256.32.8. .4.2.16.4.,1,8
2.4.2.4. .4.128.4.2.256.32.8.4.2.16.4.,2,3
 . .2.2. .8.128.8.4.256.32.8.4.2.16.4.,3,1
4.2. . .8.128.8. .4.256.32.8.4.2.16.4.,0,12
4.2.8.8.8.128.32.4.8.256.16. .2.2. . .,1,12
 .4.2.16.8.128.32.4. .8.256.16.2. . .4.,2,2
 . .2.16. .4.2.4.8.128.32.16.2.8.256.4.,3,3
2.16. .2.4.2.4. .8.128.32.16.2.8.256.4.,0,14
2.16.4.2.4.2.32.16.8.128.256.4.2.8.2. .,1,12
2.16.4.2.4.2.32.16.8.128.256.4.2.2.8.2.,3,15
2.16.4.2.4.2.32.16.8.128.256.4.4.8.2.2.,1,12
2.16.4.2.4.2.32.16.8.128.256.4.2.4.8.4.,2,3
2.16.4.2.4.2.32.2.8.128.256.16.2.4.8.8.,3,15
2.16.4.2.4.2.32.2.8.128.256.16.2.4.16.2.,0,15
2.16.4.4.4.2.32.16.8.128.256.2.2.4.16.2.,1,0
2.2.16.8.4.2.32.16.8.128.256.2.2.4.16.2.,2,3
2. .16.4.4.4.32.8.8.128.256.16.2.4.16.4.,3,3
2.16.4.2.8.32.8. .8.128.256.16.2.4.16.4.,0,12
2.16.4.2.16.32.8.16.2.128.256.4.2.4.16. .,1,12
2.16.4.2.16.32.8.16.2.128.256.4.4.2.4.16.,-1,-1
